говорить/по- (с +inst)	to speak; to have a talk, talk (to)	Я могу говорить|I can speak	deck#5	due@2020-12-11 10:11:50
говорить/сказать	to say	Я сказал, что он в Москве; Скажите, пожалуйста|I said that he is in Moscow; Tell me, please	deck#4	due@2020-10-11 22:38:37
для (+g)	for	письмо для Ивана|a letter for Ivan	deck#5	due@2020-12-11 10:11:51
уже	already	Он уже знает об этом|He already knows about this	deck#5	due@2020-12-11 10:11:52
знать (i) (+a)	to know	Я знаю её|I know her	deck#5	due@2020-12-10 22:38:30
да	yes; and, but	Да, это правда; он да я|Yes, that’s true; he and I	deck#5	due@2020-12-11 08:42:24
какой	what (kind of)	Какой у Ивана дом?|What kind of house has Ivan got?	deck#4	due@2020-10-15 17:51:18
когда	when	Когда вы были в Москве?|When were you in Moscow?	deck#4	due@2020-10-11 22:38:35
другой	different, other	в другом доме|in a different (another) house	deck#5	due@2020-12-11 10:11:54
первый	first	в первом доме|in the first house	deck#5	due@2020-12-11 10:11:55
чтобы	in order to	чтобы говорить по-русски|in order to speak Russian	deck#5	due@2020-12-11 10:11:56
его	his, its	Это его книга?|Is this his book?	deck#4	due@2020-10-12 08:43:34
год	year	в этом году|this year	deck#5	due@2020-12-11 10:11:57
кто	who	Я знаю, кто он|I know who he is	deck#5	due@2020-12-11 10:11:58
дело	matter, business	Это моё дело|This is my business	deck#4	due@2020-10-12 10:12:01
нет	no; (+g) there is no	Нет работы|There is no work	deck#6	due@2021-09-07 08:58:59
её	her	Вот её дом|There’s her house	deck#5	due@2020-12-11 10:12:02
очень	very	очень большой город|a very large town	deck#5	due@2020-12-11 10:12:03
большой	large	большие города|large towns	deck#5	due@2020-12-11 10:12:04
новый	new	С Новым годом!|Happy New Year	deck#5	due@2020-12-10 22:37:58
становиться/стать (+inst)	to become; to stand; p: begin	Он стал говорить; Она стала инженером|He began to speak; She became an engineer	deck#3	due@2020-10-05 19:20:37
работа	work	Он говорит о своей работе|He is speaking about his work	deck#5	due@2020-12-11 10:12:12
сейчас	now, right now	Он сейчас в Москве|He’s in Moscow at the moment	deck#6	due@2021-09-07 10:12:13
время (n)	time	в то время; во время войны; много времени|at that time; during the war; a lot of time	deck#5	due@2020-12-11 08:47:23
человек (pl люди)	person	Она хороший человек|She is a good person	deck#5	due@2020-12-11 10:12:15
идти/пойти	to go (on foot)	Я иду по улице; Куда ты идёшь?|I am walking along the street; Where are you going?; Я пошёл домой|I went home	deck#5	due@2020-12-11 08:45:34
если	if	Если она хочет, я тоже хочу|If she wants (to), I want (to) too	deck#5	due@2020-12-11 10:12:16
два (f две)	two	два часа; две машины|two o’clock; two cars	deck#5	due@2020-12-11 10:12:17
мой	my	Вот мой дом|There is my house	deck#5	due@2020-12-11 10:12:17
жизнь (f)	life	Наша жизнь хорошая|Our life is good	deck#5	due@2020-12-11 10:12:18
до (+g)	up to; until	До свидания!|Until we meet again=Goodbye	deck#5	due@2020-12-11 10:19:41
где	where	Он знает, где мой дом|He knows where my house is	deck#6	due@2021-09-07 10:19:42
каждый	each, every	каждый день|each (every) day	deck#6	due@2021-09-07 10:19:43
самый	the very, most	самый большой дом|the biggest house	deck#4	due@2020-10-12 10:19:47
хотеть/за-	to want	Я хочу говорить по-русски; ты хочешь; Что вы хотите?|I want to speak Russian; you want; What do you want?	deck#5	due@2020-12-11 10:19:49
здесь	here	Я здесь уже два года|I have been here for two years	deck#6	due@2021-09-07 10:19:50
надо	it is necessary	Надо говорить по-русски|One must speak Russian	deck#5	due@2020-12-11 10:19:52
люди (pl)	people	Русские - хорошие люди|Russians are good people	deck#5	due@2020-12-11 10:19:54
теперь	now	Теперь надо идти|Now it is necessary to go (Now we must leave)	deck#5	due@2020-12-11 10:19:55
дом	house	из дома; дома|from the house; houses	deck#5	due@2020-12-11 10:19:56
раз	once; a time	один раз; два раза; шесть раз|once; twice; six times	deck#5	due@2020-12-11 10:19:57
день (m)	day	только один день; два дня|only one day; two days	deck#5	due@2020-12-11 10:19:58
или	or	Быть или не быть|To be or not to be	deck#6	due@2021-09-07 10:19:59
город	town, city	Они работают в этом городе|They work in this town	deck#5	due@2020-12-11 08:50:10
там	there	Жизнь там хорошая.|Life is good there	deck#6	due@2021-09-07 10:20:01
слово	word	Я скажу одно слово|I shall say one word	deck#5	due@2020-12-11 10:20:02
глаз	eye	два глаза; большие глаза|two eyes; large eyes	deck#5	due@2020-12-11 10:20:07
потом	then, next	Он был в моём доме, потом он пошёл на работу|He was in my house, then he went to work	deck#4	due@2020-10-28 19:42:02
видеть/у- (+a)	to see	Я вижу дом; Ты видишь её?|I see the house; Can you see her?	deck#5	due@2020-12-11 10:20:14
их	their	в их доме|in their house	deck#5	due@2020-12-11 10:20:15
под (+inst)	under	под домом|under the house	deck#5	due@2020-12-11 10:21:44
даже	even	Даже Иван знает это|Even Ivan knows that	deck#5	due@2020-12-11 10:21:45
думать/по-	to think	Они думают о жизни|They think about life; Она не подумала о нём|She didn’t think about him	deck#5	due@2020-12-11 10:21:47
хорошо	well; it is good	Очень хорошо!|Very good!	deck#5	due@2020-12-11 10:21:47
можно	it is possible	Можно идти?|Is it possible to go?	deck#5	due@2020-12-11 10:21:49
тут	here (like здесь)	Иван тут, в нашем доме|Ivan is here, in our house	deck#4	due@2020-10-11 22:31:46
тысяча	thousand	две тысячи слов|two thousand words	deck#3	due@2020-10-03 13:11:47
ли	whether [question word]	Знаете ли вы Ивана? Я не знаю, здесь ли он|Do you know Ivan? I don’t know whether he’s here	deck#5	due@2020-12-11 10:21:51
вода	water	водка с водой; пить воду|vodka with water; to drink water	deck#5	due@2020-12-10 22:32:27
ничто/ничего (a/g)	nothing	Ничто его не интересует; Он ничего не знает|Nothing interests him; He knows nothing	deck#5	due@2020-12-11 10:21:53
много (+g)	much, many, a lot	много работы|a lot of work	deck#6	due@2021-09-07 10:21:54
рука	hand; arm	моя рука|my hand/arm	deck#5	due@2020-12-11 10:21:56
себя	self [(a) pronoun]	к себе; с собой|towards oneself; with oneself	deck#5	due@2020-12-11 10:21:58
молодой	young	молодые люди|young people	deck#5	due@2020-12-11 10:21:59
тоже	too	Он тоже ничего не сказал|He too said nothing	deck#5	due@2020-12-11 10:22:00
спрашивать/спросить (+a о +pr)	to ask (s.o. about sth)	i Он спрашивает о войне|He asks about the war; p Я спросил его, знает ли он Ивана|I asked him whether he knew Ivan	deck#4	due@2020-10-26 13:07:53
без (+g)	without	без молока|without milk	deck#5	due@2020-12-11 15:44:45
делать/с- (+a)	to do, make	Мы ничего не делаем|We are doing nothing; Он сделал всю работу|He did all the work	deck#5	due@2020-12-11 09:01:54
три	three	три часа|three o’clock/three hours	deck#4	due@2020-10-11 22:31:36
всё	all; all the time	Он всё говорит о работе|He talks about work all the time	deck#6	due@2021-09-07 15:44:48
то	that; then	то есть; Если он здесь, то я уйду|that is (=i.e.); If he’s here, then I’ll leave	deck#5	due@2020-12-11 15:44:50
жить/по-	to live; p: live for a while	i Я хочу жить там, где она живёт|I want to live where she lives; p поживу, поживёшь, past пожил, пожила, пожило	deck#4	due@2020-10-24 21:14:03
труд	labour	с трудом|with difficulty	deck#4	due@2020-10-26 13:07:34
сам (f сама, n само, pl сами)	self	Он всё сделал сам|He did everything himself	deck#4	due@2020-10-11 22:33:43
хороший	good	Это хорошее вино|This is good wine	deck#5	due@2020-12-11 15:45:11
второй	second	второй день нового года|the second day of the New Year	deck#4	due@2020-10-12 08:59:55
через (+a)	across, via, after	через улицу; через час|across the street; in an hour’s time	deck#4	due@2020-10-11 22:36:33
место	place	Здесь нет места|There is no place/room here	deck#5	due@2020-12-11 15:45:12
после (+g)	after	После работы мы идём домой|After work we go home	deck#5	due@2020-12-11 15:45:16
страна	country	в нашей стране|in our country	deck#5	due@2020-12-11 15:45:18
должен (f должна, n должно, pl должны)	ought, obliged, must	Она должна идти; Мы должны быть там в десять|She must (is obliged to) go; We ought to be there at ten	deck#4	due@2020-10-11 22:39:47
больше	more	Он знает больше; больше хлеба|He knows more; more bread	deck#5	due@2020-12-11 15:45:21
ваш	your	Дом ваш|The house is yours	deck#5	due@2020-12-10 22:32:40
дверь (f)	door	за дверью|behind the door	deck#4	due@2020-10-12 15:45:24
друг (pl друзья)	friend	Мы с другом были в Москве|My friend and I were in Moscow	deck#4	due@2020-10-12 15:45:26
машина	machine; car	Мы смотрели на вашу машину|We were looking at your car	deck#5	due@2020-12-11 15:45:36
комната	room	В комнате холодно|It’s cold in the room	deck#4	due@2020-10-12 15:45:48
учиться (i)	to study	Иван учится в университете|Ivan studies at university	deck#5	due@2020-12-11 15:45:58
над (+inst)	above	над домом|above the house	deck#4	due@2020-10-26 12:54:10
голова	head	над вашей головой|above your head	deck#4	due@2020-10-11 22:38:17
почему	why	Почему вы не знаете?|Why don’t you know?	deck#5	due@2020-12-11 08:58:29
земля	earth, land	жизнь на земле|life on earth	deck#4	due@2020-10-12 15:46:08
стол	table	Он сидит за столом|He is sitting behind (at) the table	deck#5	due@2020-12-11 15:46:10
давать/дать (+a +d)	to give (sth to s.o.)	Мы даём слово, что всё сделаем|We give (our) word that we shall do everything	deck#5	due@2020-12-11 15:46:12
перед (+inst)	in front of, before	Он стоит перед домом|He is standing in front of the house	deck#4	due@2020-10-11 22:40:02
тогда	then, at that time	Он тогда работал на заводе|He worked in a factory then	deck#5	due@2020-12-11 15:46:23
сидеть/по-	to sit (p: sit for a while)	Кто сидит в комнате?|Who is sitting in the room?; p посижу, посидишь	deck#3	due@2020-10-05 19:07:09
мальчик	boy	В комнате сидят мальчики|The boys are sitting in the room	deck#6	due@2021-09-07 15:46:24
девушка	girl	К Ивану пришла девушка|A girl has come to (see) Ivan	deck#6	due@2021-09-07 15:46:26
лето (g pl лет)	summer; (after numbers) years	лётом; тысяча лет|in the summer; 1,000 years	deck#5	due@2020-12-11 15:46:28
сегодня	today	Сегодня надо работать|Today one must work	deck#5	due@2020-12-11 15:46:29
сторона	side	на этой стороне|on this side	deck#4	due@2020-10-12 15:46:32
совсем	completely	Машина совсем новая|The car is completely new	deck#3	due@2020-10-07 18:37:25
маленький	small	Они живут в маленьком доме|They live in a small house	deck#4	due@2020-10-12 08:37:49
несколько (+g)	a few, some	несколько девушек|a few girls	deck#4	due@2020-10-12 15:46:47
вдруг	suddenly	Вдруг он спросил о Сталине|Suddenly he asked about Stalin	deck#3	due@2020-10-03 12:54:40
ни	not a	ни ... ни ...; Не было ни одного|neither ... nor ...; There wasn’t a single one	deck#5	due@2020-12-11 08:42:57
лицо	face; person	Я знаю ваше лицо|I know your face	deck#4	due@2020-10-12 08:53:25
конечно	of course	Конечно нет!|Of course not!	deck#4	due@2020-10-12 15:47:43
народ	(the) people	русский народ|the Russian people	deck#4	due@2020-10-28 19:00:06
начинать/начать	to begin	Мы начинаем понимать|We are beginning to understand; Он начал говорить|He began to speak	deck#4	due@2020-10-21 21:24:19
пять	five	Он живёт здесь уже пять лет|He has been living here for five years already	deck#5	due@2020-12-11 08:38:54
ведь	you know (expecting agreement)	Ведь он мой друг!|He’s my friend, you know!	deck#2	due@2020-09-29 19:49:30
вопрос	question	трудные вопросы|difficult questions	deck#5	due@2020-12-11 15:48:11
писать/на- (+a)	to write	Мальчик пишет|The boy is writing; я напишу, ты напишешь|I’ll write, you’ll write	deck#4	due@2020-10-12 15:48:20
письмо	letter	Я пишу письмо|I am writing a letter	deck#4	due@2020-10-12 15:48:23
при (+pr)	in the presence/time of; attached to	при мне; при Сталине; при заводе|in my presence; under Stalin; attached to the factory	deck#3	due@2020-10-05 19:04:00
мать (f)	mother	машина моей матери|my mother’s car	deck#5	due@2020-12-11 15:48:41
нужно	(it is) necessary	Мне нужно идти|I must go	deck#4	due@2020-10-11 22:39:51
смотреть/по-	to watch; (на +a) look (at)	Она смотрит телевизор|She is watching television; Мы посмотрим фильм; Он посмотрел на меня|We’ll watch the film; He looked at me	deck#4	due@2020-10-12 08:50:57
сила	strength, force	сила характера; демократические силы|strength of character; democratic forces	deck#3	due@2020-10-07 18:37:55
вместе	together	Мы пришли вместе|We arrived together	deck#5	due@2020-12-11 15:48:49
выходить/выйти	to go out	Она вышла из комнаты|She went out of the room; Я выхожу из дома; Ты тоже выходишь|I leave the house; You leave too	deck#5	due@2020-12-11 15:48:54
любить/по- (+a)	to like, love; p: to fall in love with	Я люблю работать; Она вас любит|I like working; She loves you; p полюблю, полюбишь	deck#5	due@2020-12-11 15:48:58
дорога	road	по дороге домой|on the road (way) home	deck#4	due@2020-10-11 22:31:59
старый	old	Она любит старые картины|She likes old pictures	deck#4	due@2020-10-11 22:32:01
улица	street	Она живёт на нашей улице|She lives in our street	deck#4	due@2020-10-12 15:49:07
решать/решить (+inf/+a)	to decide; solve	Она решила уйти; Кто решит задачу?|She decided to leave; Who will solve the problem?	deck#4	due@2020-10-12 15:49:09
книга	book	На столе лежат пять книг|There are five books on the table	deck#5	due@2020-12-11 15:49:10
всегда	always	Всегда так|It is always like that	deck#4	due@2020-10-11 22:38:35
голос	voice; vote	Голос у неё хороший|She has a good voice	deck#4	due@2020-10-12 15:49:14
значить (i)	to mean	Что это значит?|What does this mean?	deck#3	due@2020-10-05 19:02:56
сразу	at once	Она ответила сразу|She answered at once	deck#3	due@2020-10-07 18:38:39
лишь	only (=только)	Это лишь одна из причин|That’s only one of the reasons	deck#2	due@2020-09-29 19:19:14
минута	minute	Я приду через три минуты|I shall come in three minutes’ time	deck#6	due@2021-09-07 15:49:38
снова	again	Он начал снова|He began again	deck#4	due@2020-10-12 15:49:39
окно	window	Окно открыто|The window is open	deck#5	due@2020-12-11 15:49:41
бы	would (conditional particle)	Если бы она знала, она бы помогла|If she had known, she would have helped	deck#4	due@2020-10-12 15:49:43
уходить/уйти	to leave (on foot)	Вы уходите?|Are you leaving?; Он ушёл из университета|He has left the university	deck#4	due@2020-10-12 15:49:47
девятьсот	nine hundred	тысяча девятьсот пятый год|(the year) 1905	deck#3	due@2020-10-03 12:54:55
последний	last	в последней комнате|in the last room	deck#4	due@2020-10-12 15:49:50
проходить/пройти	to go through, pass (on foot)	Мы проходили мимо завода|We were walking past a factory; Пройдите в комнату! Она прошла мимо него|Go through into the room! She walked past him	deck#3	due@2020-10-05 19:48:24
отец	father	Она не думает об отце|She doesn’t think about (her) father	deck#5	due@2020-12-11 15:49:58
час	hour	три часа|three hours; three o’clock	deck#4	due@2020-10-11 22:37:35
просто	simply	Они просто не знают|They simply don’t know	deck#5	due@2020-12-11 15:50:00
видеть/увидеть	to see	Я увижу её; Она увидела отца|I’ll see her; She saw her father	deck#4	due@2020-10-11 22:35:08
же	emphasizes preceding word	Как же так?; Где же она? тот же дом|But how can that be?; Where on earth is she?; the same house	deck#3	due@2020-10-03 12:57:35
третий	third	Кто живёт в третьей квартире?|Who lives in flat number 3?	deck#4	due@2020-10-12 15:50:20
потому/потому что	that is why because	Я ушёл, потому что он там|I left because he is there	deck#4	due@2020-10-12 15:50:27
никто	nobody	Никто не знает|Nobody knows	deck#5	due@2020-12-11 08:42:53
ждать/подо- (+a or g)	to wait (for)	я жду; он ждёт; Ждите ответа!|I am waiting; he is waiting; Wait for an answer! /p подожду, подождёшь	deck#4	due@2020-10-28 18:59:36
сколько (+g)	how many, how much	Сколько лет?|How many years?	deck#5	due@2020-12-11 15:50:30
высокий	high, tall	высокая девушка|a tall girl	deck#4	due@2020-10-11 22:35:07
лучше	better	Он говорит лучше, чем вы|Не speaks better than you	deck#5	due@2020-12-11 15:50:34
получать/получить (+a)	to receive, get	Ты получишь письмо завтра|You will receive the letter tomorrow	deck#4	due@2020-10-28 18:51:38
почти	almost	почти год|almost a year	deck#4	due@2020-10-11 22:33:02
лес	wood, forest	В лесу тихо|It’s quiet in the forest	deck#4	due@2020-10-12 15:50:36
конец	end	конец света; в конце года|the end of the world; at the end of the year	deck#4	due@2020-10-12 15:50:38
нога	leg/foot	Ох, мой ноги|Oh, my feet	deck#3	due@2020-10-05 19:08:15
собственный	(one’s) own	собственными глазами|with one’s own eyes	deck#2	due@2020-09-29 19:00:56
сто	hundred	сто долларов; больше ста|a hundred dollars; more than a hundred	deck#4	due@2020-10-12 15:50:46
художник	artist	молодые художники|young artists	deck#2	due@2020-09-29 19:04:24
четыре	four	четыре времени года|four seasons	deck#5	due@2020-12-11 08:56:55
пока	while	пока он здесь|while he is here	deck#3	due@2020-10-07 18:37:58
пока не	until	пока он не придёт|until he comes	deck#3	due@2020-10-05 19:34:53
слушать/по- (+a)	to listen to	Он слушает музыку|He is listening to music	deck#4	due@2020-10-12 15:51:13
путь (m)	way, journey	по пути|on the way	deck#3	due@2020-10-05 18:43:54
белый	white	белые дома|white houses	deck#4	due@2020-10-28 19:48:11
республика	republic	федеральная республика|federal republic	deck#4	due@2020-10-12 15:51:21
быстро	quickly	Мы шли быстро|We were walking quickly	deck#4	due@2020-10-12 08:50:13
куда	where (whither)	Куда они пошли?|Where have they gone?	deck#4	due@2020-10-12 15:51:24
главный	main	Вот главная улица|Here is the main street	deck#4	due@2020-10-11 22:32:26
дети (pl)	children	У них нет детей|They have no children	deck#4	due@2020-10-12 15:51:25
рассказывать/рассказать	to tell, talk (about)	i Он рассказывал о войне|He was talking about the war; p Я расскажу вам историю; Он рассказал нам о них|I’ll tell you a story; He talked about them	deck#4	due@2020-10-28 18:43:11
совет	advice; council	хороший совет|a good piece of advice	deck#4	due@2020-10-28 19:14:53
газета	newspaper	Мы читали газету|We were reading the newspaper	deck#5	due@2020-12-11 15:51:43
понимать/понять (+a)	to understand	Никто не понимает|Nobody understands; Вы меня не поняли|You haven’t understood me	deck#4	due@2020-10-12 08:45:32
пора	it is time; time, season	Пора идти|It is time to go	deck#2	due@2020-09-29 19:36:05
твой	your (familiar)	Я получил твоё письмо|I have received your letter	deck#4	due@2020-10-11 22:37:33
бывать (i)	to be (repeatedly)	Он часто бывает здесь|He is often here	deck#4	due@2020-10-28 19:05:16
находить/найти (+a)	to find	i: нахожу, находишь; Она нашла книгу?|Did she find the book?	deck#4	due@2020-10-12 08:45:04
песня	song	песня о лёте|a song about summer	deck#4	due@2020-10-12 15:51:59
имя (n)	(first) name	Как ваше имя?|What is your name? g sg имени	deck#5	due@2020-12-11 15:52:01
партия	party (political)	лидер партии|party leader	deck#5	due@2020-12-11 15:52:02
вечер	evening	летние вечера|summer evenings	deck#4	due@2020-10-12 15:52:03
опять	again	Почему вы опять здесь?|Why are you here again?	deck#4	due@2020-10-12 15:52:05
иметь (i) (+a)	to have (with non-concrete object)	иметь право что-то сделать|to have the right to do something	deck#3	due@2020-10-03 12:56:30
между (+inst)	between	между городом и лесом|between the town and the wood	deck#4	due@2020-10-12 08:46:29
настоящий	real; present	настоящий друг; настоящее время|a real friend; the present time	deck#2	due@2020-09-29 19:30:09
план	plan	Какие у вас планы?|What are your plans?	deck#4	due@2020-10-12 15:52:15
правда	truth	Он сказал правду|He told the truth	deck#4	due@2020-10-12 08:42:23
сорок	forty	сорок человек|forty people	deck#2	due@2020-09-29 19:08:31
ходить/с-	to go there and back	ходить в школу; Вчера мы ходили в кино; Я ходил по городу|to attend school; We went to the cinema yesterday; I walked round the town; p: схожу, сходишь	deck#3	due@2020-10-05 19:08:04
ходить/пo-	to walk around	ходить в школу; Вчера мы ходили в кино; Я ходил по городу|to attend school; We went to the cinema yesterday; I walked round the town	deck#4	due@2020-10-12 08:48:37
узнавать/узнать (+a)	to recognize; find out	i узнаю, узнаёшь; Я узнаю её; Мы узнали, где она живёт|I shall recognize her; We found out where she lives	deck#2	due@2020-09-29 18:43:45
поле	field	работать в поле|to work in the field	deck#4	due@2020-10-12 15:52:39
ночь (f)	night	Спокойной ночи!|Peaceful night (Goodnight)	deck#4	due@2020-10-12 08:53:24
входить/войти	to enter	Входите!|Come in!; я войду; я вошёл|I shall enter; I entered	deck#4	due@2020-10-12 15:52:42
красный	red	Красная площадь|Red Square	deck#5	due@2020-12-10 22:32:18
более	more	более интересная книга|a more interesting book	deck#4	due@2020-10-12 08:42:02
урок	lesson	уроки русского языка|Russian lessons	deck#4	due@2020-10-28 18:58:41
нельзя	it is not allowed; it is impossible	Вам нельзя курить здесь|You can’t smoke here	deck#4	due@2020-10-12 15:52:44
тело	body	части тела|parts of the body	deck#3	due@2020-10-03 12:41:56
рядом	alongside	Она сидела рядом со мной|She was sitting next to me	deck#2	due@2020-09-29 18:49:09
лежать/по-	to lie, (p) lie for a while	i Газета лежит на столе|The paper is lying on the table; p p полежу, полежишь	deck#3	due@2020-10-05 19:04:20
про (+a)	about (=о +pr) (coll)	Он слышал про эту книгу|Не has heard about this book	deck#3	due@2020-10-05 19:28:36
интересный	interesting	интересные друзья|interesting friends	deck#5	due@2020-12-11 15:53:15
никогда	never	Мы никогда не найдём их|We shall never find them	deck#4	due@2020-10-12 15:53:17
район	region	в этом районе|in this region	deck#2	due@2020-09-29 18:46:42
нужный	necessary	Всё, что нужно|Everything that is necessary	deck#4	due@2020-10-28 18:58:48
особенно	especially	особенно высокий дом|an unusually tall house	deck#3	due@2020-10-03 12:56:35
отвечать/ответить	to answer	Он отвечает на вопрос|He answers the question; Я отвечу на вопрос|I shall answer the question	deck#4	due@2020-10-12 15:53:19
начальник	head, boss	Им нельзя говорить с начальником|They can’t speak to the boss	deck#3	due@2020-10-05 19:47:51
разный	various, different	в разных странах|in various countries	deck#4	due@2020-10-12 15:53:24
тридцать	thirty	тридцать художников|thirty artists	deck#5	due@2020-12-11 08:48:09
десять	ten	в десяти республиках|in ten republics	deck#4	due@2020-10-12 15:53:28
мир	world; peace	мир во всём мире|peace in the whole world	deck#4	due@2020-10-12 15:53:29
картина	picture	книга с картинами|a book with pictures	deck#4	due@2020-10-12 15:53:32
комитет	committee	Центральный комитет|the Central Committee	deck#4	due@2020-10-12 15:53:35
мысль (f)	thought	интересная мысль|an interesting thought	deck#3	due@2020-10-01 21:11:43
гость (m)	guest	принимать гостей|to receive guests	deck#4	due@2020-10-28 18:36:08
старший	elder, senior	старший сын|elder son	deck#4	due@2020-10-26 13:11:05
вид	view, look; species	вид на море; вид спорта|sea view; type of sport	deck#4	due@2020-10-28 19:05:01
среди (+g)	among	среди друзей|among friends	deck#3	due@2020-10-05 19:14:43
случай	case, occurrence, chance	В таком случае я пойду к начальнику|In that case I shall go to the boss	deck#3	due@2020-10-07 18:36:36
народный	people’s	народная песня|folk song	deck#4	due@2020-10-28 18:34:44
помнить/вс- (+a/о +pr)	to remember	Я помню её; Ты помнишь об этом?|I remember her; Do you remember that?	deck#4	due@2020-10-26 13:05:02
просить/по- (+a +inf)	to request, ask (s.o. to do sth)	Прошу вас не курить; Он просит вас зайти|I ask you not to smoke; He asks you to call; p: попрошу, попросишь; Я попросил его войти I asked him to come in	deck#2	due@2020-09-29 19:47:35
пусть	let	Пусть идёт, если хочет|Let him go if he wants to	deck#2	due@2020-09-29 19:40:15
разговор	conversation	разговор о погоде|conversation about the weather	deck#3	due@2020-10-01 21:10:40
двор	yard, court	сидеть во дворе|to sit in the yard	deck#2	due@2020-09-29 19:48:38
долго	for a long time	Она сидела долго|She sat for a long time	deck#3	due@2020-10-05 18:51:30
месяц	month; moon	три месяца; пять месяцев|3 months; 5 months	deck#4	due@2020-10-12 15:54:59
возвращаться/вернуться	to come back	p я вернусь, ты вернёшься|I’ll return, you’ll return	deck#3	due@2020-10-05 19:49:42
союз	union	профсоюз|trade union	deck#4	due@2020-10-12 15:55:04
война	war	во время войны|during the war	deck#4	due@2020-10-12 15:55:06
хотя	although	Они вернутся, хотя не хотят|They will return although they don’t want to	deck#4	due@2020-10-12 15:55:08
берег	bank, shore	на берегу; берега реки|on the shore; banks of a river	deck#4	due@2020-10-28 19:05:12
целый	whole	Он ничего не делал целый день|He did nothing all day	deck#4	due@2020-10-26 13:08:54
группа	group	Они вернулись группами|They returned in groups	deck#5	due@2020-12-11 15:55:15
